Start Time,Duration (sec),Fixture,"Flow Rate Hot & Cold (gpm)","Flow Rate Hot Only (gpm)","Flow Rate Cold Only (gpm)"
1/2 11:01:30 AM,6,Kitchen Sink,0.524,0.444,0.080
1/2 11:03:30 AM,60,Sink 3,1.869,1.584,0.285
1/2 11:05:24 AM,42,Sink 2,0.847,0.718,0.129
1/2 1:12:24 PM,24,Kitchen Sink,1.999,1.695,0.304
1/2 1:14:18 PM,24,Kitchen Sink,0.98,0.831,0.149
1/2 1:42:24 PM,6,Kitchen Sink,0.8,0.678,0.122
1/2 5:46:06 PM,114,Sink 4,1.74,1.475,0.265
1/2 5:55:24 PM,18,Kitchen Sink,0.745,0.632,0.113
1/2 5:57:24 PM,24,Kitchen Sink,1.469,1.245,0.224
1/2 6:48:00 PM,66,Kitchen Sink,1.14,0.966,0.174
1/2 6:56:42 PM,6,Sink 4,0.338,0.287,0.051
1/2 10:24:54 PM,102,Kitchen Sink,0.835,0.708,0.127
1/2 10:26:48 PM,24,Kitchen Sink,1.808,1.533,0.275
1/2 10:28:42 PM,30,Kitchen Sink,0.535,0.454,0.081
1/2 10:30:42 PM,18,Kitchen Sink,0.949,0.805,0.144
1/2 10:32:36 PM,162,Kitchen Sink,1.442,1.222,0.220
1/2 10:34:30 PM,24,Kitchen Sink,1.733,1.469,0.264
1/3 7:38:24 AM,30,Kitchen Sink,0.785,0.666,0.119
1/3 7:40:24 AM,24,Kitchen Sink,1.334,1.131,0.203
1/3 8:14:42 AM,90,Kitchen Sink,0.35,0.297,0.053
1/3 8:25:48 AM,204,Shower 1,3.526,2.990,0.536
1/3 9:06:48 AM,882,Shower 1,2.076,1.760,0.316
1/3 9:08:48 AM,18,Kitchen Sink,1.289,1.093,0.196
1/3 9:10:42 AM,66,Kitchen Sink,0.927,0.786,0.141
1/3 9:44:18 AM,12,Kitchen Sink,1.133,0.961,0.172
1/3 10:08:18 AM,18,Kitchen Sink,1.23,1.043,0.187
1/3 11:47:54 AM,48,Kitchen Sink,2.075,1.759,0.316
1/3 12:02:48 PM,6,Kitchen Sink,0.002,0.002,0.000
1/3 12:04:48 PM,78,Sink 2,1.616,1.370,0.246
1/3 12:42:12 PM,30,Sink 4,1.868,1.584,0.284
1/3 12:44:06 PM,48,Sink 2,0.828,0.702,0.126
1/3 12:46:06 PM,6,Kitchen Sink,0.492,0.417,0.075
1/3 12:48:00 PM,6,Kitchen Sink,0.067,0.057,0.010
1/3 12:55:06 PM,66,DW1,1.671,1.671,0.000
1/3 1:04:48 PM,54,DW1,1.463,1.463,0.000
1/3 1:14:36 PM,60,DW1,1.133,1.133,0.000
1/3 1:24:24 PM,90,DW1,1.249,1.249,0.000
1/3 2:17:18 PM,78,Sink 2,0.342,0.290,0.052
1/3 2:19:18 PM,6,Kitchen Sink,0.869,0.737,0.132
1/3 2:21:12 PM,6,Kitchen Sink,0.583,0.494,0.089
